CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U36100DL2013PTC254873,MERIDIEN REALTECH PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,7/4/2013,"Suit No. 8, IInd Floor,   Ashoka Palace, West Patel Nagar,New Delhi,West Delhi,Delhi,110008-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2013PTC262315,ALLEGRO REMEDIES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,12/17/2013,"E-2/49, GALI NO. 29, CHANAKYA PLACE, PART-1,   25 FEET ROAD, NEAR C-1, JANAKPURI, UTTAM, NAGAR,DELHI,South West Delhi,Delhi,110059-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2014PTC267240,HIAL SERVICES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,3/31/2014,"A-602, PLOT NO. 36,VINAYAK APARTMENT   SECTOR 10, DWARKA , NEW DELHI,NEW DELHI,West Delhi,Delhi,110075-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2014PTC269818,REGALO KITCHENS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,1000000,8/2/2014,"328, FIE,   PATPARGANJ INDUSTRIAL AREA,DELHI,East Delhi,Delhi,110092-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2016PTC290429,QRATE LIFESTYLE PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,2/1/2016,"FLAT NO B 902, PLOT NO 18A, MEDIA SOCIETY   SECTOR 7, DWARKA 1,NEW DELHI,South West Delhi,Delhi,110075-India",Unlisted,Strike Off,delhi,Indian,36100,Manufacturing (Others)
U36100DL2017PTC314815,ADVARA CARE INDIA PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,10000,10000,3/21/2017,"Flat No. 62, Floor 3rd PKT C-6, Sec 5, Landmark NA   Rohini,New Delhi,North Delhi,Delhi,110085-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2018PTC342416,CROSSCUT E-SOLUTIONS INDIA PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,11/30/2018,"3980 F F GALI   AHIRAN SADAR BAZAR NEAR SADAR,DELHI,North Delhi,Delhi,110006-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2020PTC361236,WOODMETRY PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,1/31/2020,"Plot No. 8, Deewan Complex, Bank Colony,   Harsh VI,,DELHI,East Delhi,Delhi,110093-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2021PTC376000,CARE CLIX PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,1/21/2021,"3536/1, Street No-95 ,BLOCK B   SANT NAGAR, BURARI,DELHI,North Delhi,Delhi,110084-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
U36100DL2022PTC400393,SAPNA RUBBER INDUSTRIES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,100000,6/21/2022,"10/59 C, GROUND FLOOR AND BASEMENT   KIRTI NAGAR INDUSTRIAL AREA, KIRTI NAGAR,DELHI,West Delhi,Delhi,110015-India",Unlisted,Active,delhi,Indian,36100,Manufacturing (Others)
