CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U74900MH2015PTC268484,SKYWORTH TRADELINK PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000,100000,9/16/2015,"G-6 MANGAL KUNJ KUTIR, RAM MANDIR ROAD   OPP. WALCHAND, NEAR RAM MANDIR, BHAYANDE,R WEST,THANE,Thane,Maharashtra,401101-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
U51109MH2008PTC185588,SHIVAN IMPEX PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,0,8/7/2008,"SALASAR SHAKTI b-405,VENKATES PARK   FATAK ROAD BHAYANDER-WEST,THANE,Mumbai City,Maharashtra,401101-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2009PTC191830,S B BATHAM TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,4/20/2009,"SHOP NO. 6,7, BHAVANI PARK, GEETA NAGAR,   PHATAK ROAD, BHAYANDER (W),THANE,Maharashtra,401107-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2008PTC186145,SAIPRASAD MERCANTILE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,300000,296700,8/25/2008,"2,3rd FLOOR, ABBAS MANZIL, OPP. CIGARETTE FACTORY   ANDHERI EAST,MUMBAI,Maharashtra,400099-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U51109MH2009PTC192347,EVERYTHING TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,6100000,5810100,5/13/2009,"RAJGURU APARTMENT, GROUND FLOOR   BABURAO PARULEKAR ROAD, DADAR - WEST,MUMBAI,Mumbai City,Maharashtra,400028-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U51109MH2008PTC187141,MENTOS TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,0,9/29/2008,"BUNGLOW NO. 18, ASHARAF HOUSE,   KOUSSA, THANE,,THANE,Thane,Maharashtra,400612-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2009PTC192965,PAWANSUT COMMERCIALS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000,100000,6/3/2009,"SP-II/301, SPRINGDALE APARTMENT   RAJ NAGAR,NAGPUR,Nagpur,Maharashtra,440013-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U74900MH2015PTC269705,CONNER CONTRACTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,10000000,1000000,10/30/2015,"203, 2nd Floor, Tilia Building, Sector R-12,Nahar Amrit Shakti,Mumbai,Mumbai,Maharashtra,400076-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2009PTC193100,FATEH TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,6/8/2009,"RAHEJA CHAMBER, OFFICE NO. 317,   3RD FLOOR, FREE PRESS MARG, NARIMAN POIN,T,,MUMBAI,Mumbai City,Maharashtra,400021-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2008PTC285455,BARBARIK DISTRIBUTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,10250000,10250000,2/18/2008,"202,2ND FLOOR,A- WING, BLDG. NO.3, SIR M.V. ROAD,   RAHUL MITTAL INDUSTRIAL ESTATE, ANDHERI,EAST,MUMBAI,Mumbai City,Maharashtra,400059-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U51109MH2009PTC194189,RICHGOAL MULTI TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,7/18/2009,"HOUSE NO. 54/A, A/P. BHOLANE,   TAL. PAROLA, DIST. JALGAON,JAGAON,Jalgaon,Maharashtra,425113-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2009PTC194278,NIRAMAY TRADING PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,82500000,10100000,7/22/2009,"A-004, NISHANT CHS SOC, GROUND FLOOR   MALVIYA ROAD, VILE PARLE EAST,MUMBAI,Maharashtra,400057-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
