CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U24290KA2021PTC151956,SCENTARTIC FLAVOURS AND FRAGRANCES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,900000,9/17/2021,"NO. 59, SREE SUBRAMANYASWAMY TEMPLE ROAD   KACHOHALLI, MACHOHALLI INDUSTRIAL AREA,BANGALORE,Bangalore,Karnataka,560091-India",Unlisted,Active,karnataka,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290KA2021PTC153729,INDOPEST AGRICHEM PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,10/28/2021,"NO. 13, 2ND FLOOR, AMAR EMPIRE   GOAVES CIRCLE,BELGAUM,Belgaum,Karnataka,590001-India",Unlisted,Active,karnataka,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290KA2022PTC156705,GOODNESS HEALTH HUB PHARMACY INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,40000000,40000000,1/17/2022,"REVANKAR PRIDE, CTS No.5918, 5919, 5920, 5921, 5922,,SWAMI VIVEKANAND COLONY, CONGRESS ROAD,Belgaum,Belgaum,Karnataka,590006-India",Unlisted,Active,karnataka,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290KA2022PTC160374,TEC FORMULATIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,50000,4/22/2022,"NO.11 (407/52) 28TH C CROSS 11TH   MAIN ROAD ,4TH BLOCK JAYANAGAR,BANGALORE,Bangalore,Karnataka,560011-India",Unlisted,Active,karnataka,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290KA2022PTC168899,LUSCHKA LABS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2500000,1350000,12/12/2022,"BHIVE Workspace (Office Space & Coworking),,L-148, 5th Main Road, Sector 6,,Bangalore South,Bangalore,Karnataka,560102-India",Unlisted,Active,karnataka,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24296KA2010PTC052475,RENATI PHARMACEUTICALS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,2/11/2010,"#9, 1st Floor, Thubrahalli   Whitefield Main Road,Bangalore,Bangalore,Karnataka,560066-India",Unlisted,Strike Off,karnataka,Indian,24296,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299KA1981PLC004321,SHRISHMA FINE CHEMICALS AND PHARMACEUTIC ALS (KARNATAKA) LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Public,350000000,154843550,7/24/1981,"44/3, FAIR FIELD LAYOUT RACECOURSE RD , BANGALORE,COURSE RD , BANGALORE,Karnataka,560001-India",Unlisted,Active,karnataka,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299KA2016PTC093738,PESTWISE PEST MANAGEMENT PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,5/31/2016,"No.21, 5TH MAIN   6TH CROSS, JNANA JYOTHI NAGAR,BANGALORE,Bangalore,Karnataka,560056-India",Unlisted,Active,karnataka,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299KA2018PTC113560,NATURIMA BEAUTYCARE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,300000,5/30/2018,"NO 23 MASJID STREET   R.S.PALYA KAMMANHALLI MAIN ROAD,BANGALORE,Bangalore,Karnataka,560033-India",Unlisted,Active,karnataka,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299KA2020PTC132134,VARSHA BIOTECH PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,1/30/2020,"No. 18, Varsha Group,1st Stage, 2nd Phase   WCR Manjunathnagar,Bangalore,Bangalore,Karnataka,560010-India",Unlisted,Strike Off,karnataka,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
